feature,target
8.64,27.5
8.43,16.86
6.45,28.27
2.58,61.47
4.83,36.23
8.07,14.51
7.14,23.27
1.11,56.95
3.54,62.21
6.18,21.42
1.44,52.44
4.41,52.12
4.71,44.54
4.89,38.15
2.76,57.04
1.47,51.81
4.11,49.39
1.35,53.26
3.72,55.02
3.96,58.56
3.39,56.33
6.99,28.64
6.42,24.21
2.49,59.54
6.03,36.23
7.02,26.14
5.16,28.47
5.73,29.5
4.68,51.86
1.65,56.9
2.7,56.81
7.95,24.92
4.2,43.82
0.99,59.28
5.58,28.92
6.93,13.52
3.75,54.29
6.81,23.75
2.37,51.48
7.5,15.09
3.33,62.59
8.37,26.07
1.53,54.86
1.92,61.22
4.14,52.16
5.49,29.61
8.19,24.65
7.41,18.77
1.98,64.63
4.23,49.83
3.9,43.39
2.1,56.74
3.66,49.36
6.72,11.34
6.24,28.12
2.61,65.57
3.42,52.55
8.88,19.6
5.91,35.42
5.64,29.51
4.74,34.82
2.79,67.25
4.8,37.48
8.13,27.78
4.47,55.98
3.93,48.57
1.41,52.89
8.04,17.82
3.87,54.16
3.36,53.67
2.82,60.8
5.97,30.2
4.08,60.1
4.92,21.19
2.13,63.24
1.29,46.67
3.18,60.38
5.4,50.72
5.55,36.39
7.92,25.11
5.37,32.69
2.4,57.4
4.95,42.63
8.4,27.82
8.91,29.47
5.25,35.73
2.07,57.88
4.5,44.34
7.47,14.87
7.74,6.28
7.71,19.4
5.34,35.55
7.2,17.82
8.31,15.04
3.45,45.8
6.96,16.07
7.83,19.81
3.51,57.32
7.05,18.38
3.21,56.0
5.76,21.28
2.91,64.27
7.56,18.02
3.3,54.53
1.08,59.77
5.31,43.24
5.67,32.39
1.23,62.15
8.7,22.53
6.27,26.76
6.6,29.87
2.43,59.08
3.0,57.71
6.57,35.8
8.61,23.43
2.64,69.92
3.99,63.18
6.09,27.22
8.52,23.63
7.77,28.81
2.94,52.34
6.06,25.64
3.27,51.47
8.79,32.29
1.89,68.43
3.06,47.33
5.04,35.47
4.65,40.42
6.9,18.93
4.98,43.27
8.94,18.75
8.22,14.37
8.97,22.62
1.26,48.62
8.76,17.1
8.16,12.68
4.17,51.3
1.17,54.29
6.66,34.4
1.32,64.88
7.89,7.83
8.58,23.87
3.6,60.71
1.2,63.83
7.44,18.92
1.59,65.4
6.39,20.93
2.55,57.7
3.78,44.33
2.19,62.4
6.75,9.39
8.55,31.12
1.74,62.95
1.71,64.75
6.54,23.77
3.48,63.49
4.29,52.87
1.68,63.97
4.86,38.46
6.63,21.85
7.62,21.29
3.69,52.14
8.67,10.93
5.28,48.08
6.51,36.45
1.05,54.23
3.63,59.86
1.8,56.11
7.26,25.31
7.29,26.28
5.7,35.58
7.23,23.37
8.34,21.84
6.36,20.59
2.34,50.41
4.32,62.36
3.03,66.29
7.68,25.05
6.87,22.84
5.82,28.69
2.04,58.09
6.84,36.02
8.49,22.07
6.33,25.87
4.44,47.55
5.46,36.72
2.31,59.82
1.62,53.75
1.56,59.47
3.09,65.14
8.82,26.63
2.97,62.49
7.65,25.74
3.81,42.59
6.0,24.44
5.43,34.97
4.26,48.56
4.05,39.7
2.88,52.52
2.28,64.84
7.08,16.6
2.46,63.63
2.73,52.27
6.78,26.42
5.1,48.18
1.14,52.67
1.02,48.53
7.86,12.5
2.01,60.71
3.15,64.59
4.62,43.88
7.53,16.35
7.59,7.25
